Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,441","1,943","2,229","2,783","3,442","3,754","2,110","2,561","3,310","3,097","4,039","5,190"
Expenses+,"1,823","1,499","1,809","2,263","2,769","2,639","1,435","2,028","2,941","2,820","3,744","4,880"
Operating Profit,617,444,420,520,673,"1,115",675,533,370,277,294,310
OPM %,25%,23%,19%,19%,20%,30%,32%,21%,11%,9%,7%,6%
Other Income+,15,36,52,50,73,72,81,84,92,121,124,193
Interest,188,164,150,198,236,682,601,308,249,246,196,137
Depreciation,72,60,64,54,62,72,79,72,68,78,90,106
Profit before tax,372,257,258,317,448,433,75,237,145,74,133,260
Tax %,34%,46%,38%,32%,34%,35%,17%,27%,28%,34%,29%,26%
Net Profit+,244,138,161,217,297,282,62,173,104,49,95,193
EPS in Rs,21.52,12.48,14.80,20.27,27.76,26.32,5.82,16.19,9.74,4.59,8.86,18.09
Dividend Payout %,29%,14%,15%,31%,22%,24%,53%,16%,27%,58%,34%,33%
