Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,349","1,299","1,414","1,603","1,266","1,092",912,"1,236","1,369","2,233","1,967","3,303"
Expenses+,"1,210","1,164","1,286","1,477","1,169","1,011",845,"1,097","1,217","1,810","1,574","2,190"
Operating Profit,139,134,129,126,97,81,67,139,151,423,393,"1,113"
OPM %,10%,10%,9%,8%,8%,7%,7%,11%,11%,19%,20%,34%
Other Income+,9,12,21,16,21,22,6,26,20,8,38,28
Interest,71,68,46,41,31,22,15,7,7,13,13,15
Depreciation,53,51,48,46,44,41,39,35,35,41,44,51
Profit before tax,24,27,54,55,43,40,19,122,130,377,374,"1,075"
Tax %,43%,45%,29%,42%,35%,35%,29%,23%,24%,26%,26%,26%
Net Profit+,14,15,38,32,28,26,14,94,98,280,276,814
EPS in Rs,0.56,0.59,1.53,1.14,1.00,0.95,0.50,3.39,3.56,10.13,9.99,29.40
Dividend Payout %,36%,42%,18%,22%,30%,32%,71%,12%,13%,5%,10%,3%
