Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,546,597,750,856,982,"1,074","1,212","1,347","1,685","2,009","2,894","3,129"
Expenses+,427,425,480,533,637,702,781,858,"1,146","1,332","1,876","2,009"
Operating Profit,118,172,269,322,345,372,431,489,539,677,"1,018","1,120"
OPM %,22%,29%,36%,38%,35%,35%,36%,36%,32%,34%,35%,36%
Other Income+,7,3,25,26,31,12,9,22,9,22,18,-9
Interest,0,0,1,11,23,2,2,4,26,85,231,193
Depreciation,16,20,23,26,36,50,43,65,117,183,315,280
Profit before tax,109,154,270,312,317,331,394,442,405,431,489,639
Tax %,18%,13%,9%,6%,8%,11%,10%,8%,8%,8%,23%,-1%
Net Profit+,89,135,247,295,291,297,355,406,374,397,375,648
EPS in Rs,"6,489.45","9,714.18",17.95,21.39,21.15,21.84,26.16,29.88,28.10,28.82,25.84,44.72
Dividend Payout %,0%,63%,0%,0%,0%,13%,21%,20%,26%,0%,28%,16%
