Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,573,531,575,540,547,563,589,538,592,603,642,645,629
Expenses+,391,421,393,387,357,385,399,392,364,393,412,417,393
Operating Profit,182,111,183,153,189,177,189,146,228,210,230,228,236
OPM %,32%,21%,32%,28%,35%,32%,32%,27%,38%,35%,36%,35%,38%
Other Income+,12,33,36,44,75,42,43,43,217,67,42,-20,50
Interest,3,3,3,3,7,2,2,2,3,3,2,2,2
Depreciation,26,16,15,18,14,15,15,15,16,14,14,14,15
Profit before tax,165,126,201,176,244,203,215,172,426,260,255,192,269
Tax %,21%,26%,26%,26%,27%,26%,26%,26%,22%,26%,26%,26%,26%
Net Profit+,130,94,149,130,179,151,158,128,331,192,189,142,200
EPS in Rs,28.34,20.44,32.56,28.41,39.10,32.94,34.61,27.89,72.34,41.91,41.32,31.00,43.68
Raw PDF,,,,,,,,,,,,,
