Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"2,534","2,656","2,524","2,290","2,457","2,513","2,319","1,540","2,177","5,418","4,190","6,790"
Interest,"1,233","1,192","1,131","1,117","1,122","1,294","1,100",509,595,950,"1,515","2,767"
Expenses+,"1,068","1,147","1,341",872,880,"1,112","1,950",623,838,880,"2,778","3,211"
Financing Profit,233,318,52,301,454,107,-731,408,744,"3,588",-103,812
Financing Margin %,9%,12%,2%,13%,18%,4%,-32%,26%,34%,66%,-2%,12%
Other Income+,25,28,43,39,38,49,39,109,184,"-1,363",33,5
Depreciation,35,39,48,49,50,75,56,49,61,59,65,94
Profit before tax,223,306,47,291,442,82,-749,468,866,"2,166",-135,724
Tax %,16%,30%,73%,19%,31%,67%,-25%,20%,21%,22%,-27%,25%
Net Profit+,187,213,13,237,304,27,-559,375,685,"1,683",-98,542
EPS in Rs,9.49,8.93,0.86,9.99,11.29,1.00,-20.73,4.90,8.91,21.73,-1.26,6.67
Dividend Payout %,8%,9%,93%,8%,7%,0%,0%,8%,22%,9%,0%,0%
