Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,843,654,"1,367","1,174","1,702","1,078","1,072","1,464","1,460","1,281","1,383","1,575","1,458"
Expenses+,641,479,"1,042",912,"1,270",785,780,"1,050","1,044",958,"1,056","1,164","1,093"
Operating Profit,202,175,325,262,433,293,292,414,416,323,328,411,365
OPM %,24%,27%,24%,22%,25%,27%,27%,28%,28%,25%,24%,26%,25%
Other Income+,47,31,41,34,60,36,66,66,72,52,46,29,72
Interest,100,108,110,135,138,152,123,114,107,106,102,90,112
Depreciation,83,68,76,82,76,68,69,76,76,76,76,80,80
Profit before tax,65,30,180,79,279,108,166,289,306,194,196,270,245
Tax %,3%,27%,38%,30%,24%,26%,31%,18%,18%,18%,13%,24%,22%
Net Profit+,63,22,112,56,211,81,115,236,249,158,170,206,191
EPS in Rs,3.00,1.67,5.78,3.18,8.92,3.62,4.87,9.67,10.10,6.13,6.65,7.63,5.95
Raw PDF,,,,,,,,,,,,,
