Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,520,655,608,664,727,773,738,758,836,"1,056","1,127","1,051","1,224"
Expenses+,407,549,498,554,609,643,601,634,673,897,930,866,"1,033"
Operating Profit,113,106,110,111,118,130,137,124,163,159,197,185,192
OPM %,22%,16%,18%,17%,16%,17%,19%,16%,20%,15%,18%,18%,16%
Other Income+,2,0,1,1,4,1,1,3,4,2,1,3,2
Interest,11,15,18,23,21,21,27,31,34,34,33,32,30
Depreciation,10,22,23,22,31,23,24,25,27,34,39,39,40
Profit before tax,95,69,70,67,70,87,87,72,106,94,127,116,123
Tax %,10%,13%,13%,5%,7%,18%,15%,12%,4%,23%,21%,14%,7%
Net Profit+,85,61,61,63,65,71,74,63,102,72,101,100,115
EPS in Rs,6.41,4.56,4.57,4.76,4.88,5.35,5.54,4.72,7.63,5.43,7.55,7.51,8.58
Raw PDF,,,,,,,,,,,,,
