Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,715,771,736,918,738,797,812,913,813,843,911,"1,082","1,058"
Expenses+,511,567,544,649,546,591,588,626,581,604,648,742,739
Operating Profit,203,204,192,269,192,207,224,287,232,239,263,340,319
OPM %,28%,26%,26%,29%,26%,26%,28%,31%,29%,28%,29%,31%,30%
Other Income+,17,18,36,36,21,18,21,30,31,24,37,27,36
Interest,1,1,1,1,1,1,1,2,6,6,6,5,7
Depreciation,26,26,26,25,17,16,16,21,30,32,32,35,39
Profit before tax,194,195,200,279,195,208,229,294,227,225,262,327,308
Tax %,25%,23%,24%,25%,30%,28%,25%,24%,30%,24%,26%,26%,24%
Net Profit+,146,151,152,210,138,150,172,225,160,172,193,242,233
EPS in Rs,19.94,20.60,20.79,28.74,18.84,20.53,23.46,30.72,21.86,23.46,26.41,33.02,31.90
Raw PDF,,,,,,,,,,,,,
