Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"24,988","27,861","27,581","48,624","54,106","62,189","71,656","76,262","77,807","91,508","107,106","115,444"
Interest,"15,456","16,657","16,768","30,289","34,627","40,845","44,684","44,709","47,017","57,968","64,670","69,415"
Expenses+,"1,103","2,042","5,538","6,583","1,696","7,332","7,102","8,215","4,290",-33,"3,833","3,181"
Financing Profit,"8,429","9,162","5,275","11,752","17,783","14,012","19,871","23,338","26,501","33,573","38,603","42,848"
Financing Margin %,34%,33%,19%,24%,33%,23%,28%,31%,34%,37%,36%,37%
Other Income+,25,25,30,42,94,105,46,79,47,69,85,65
Depreciation,8,20,41,15,15,24,25,35,52,53,56,63
Profit before tax,"8,446","9,167","5,264","11,779","17,862","14,093","19,891","23,382","26,496","33,588","38,632","42,850"
Tax %,29%,33%,58%,25%,29%,33%,21%,20%,20%,21%,21%,22%
Net Profit+,"6,004","6,184","2,236","8,797","12,640","9,477","15,716","18,768","21,179","26,461","30,514","33,625"
EPS in Rs,18.19,18.74,6.78,20.27,30.06,21.58,35.60,42.47,48.15,59.88,69.67,78.49
Dividend Payout %,20%,30%,59%,31%,0%,35%,22%,23%,22%,23%,23%,29%
