Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"105,932","102,236","105,129","110,577","119,033","107,102","83,656","94,472","98,377","87,677","72,349","70,108","105,447"
Expenses+,"92,818","89,019","91,362","95,159","102,348","91,854","73,742","84,070","83,990","79,515","73,753","69,229","94,188"
Operating Profit,"13,114","13,217","13,767","15,418","16,685","15,248","9,914","10,402","14,387","8,162","-1,404",879,"11,259"
OPM %,12%,13%,13%,14%,14%,14%,12%,11%,15%,9%,-2%,1%,11%
Other Income+,"1,453",895,"1,557","1,604","1,412","6,553","1,920","2,730","2,361","2,690","81,507",39,"1,877"
Interest,"2,642","2,615","2,652","2,485","1,645","1,471","1,094",843,828,692,686,682,767
Depreciation,"7,050","6,633","6,637","6,850","7,143","6,565","5,467","4,863","4,717","4,851","4,871","4,969","5,092"
Profit before tax,"4,875","4,864","6,035","7,687","9,309","13,765","5,273","7,426","11,203","5,309","74,546","-4,733","7,277"
Tax %,-13%,32%,36%,7%,-88%,23%,33%,26%,24%,25%,-2%,-26%,19%
Net Profit+,"5,496","3,301","3,832","7,145","17,528","10,587","3,521","5,484","8,556","4,003","76,248","-3,483","5,878"
EPS in Rs,16.28,9.64,11.33,21.14,52.37,31.63,9.36,14.69,23.01,10.66,206.85,-9.47,15.70
Raw PDF,,,,,,,,,,,,,
