Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,951","1,778","1,909","1,855","2,303","2,118","2,338","2,319","2,585","2,410","2,715","2,604","2,831"
Expenses+,"1,464","1,274","1,430","1,366","1,572","1,496","1,622","1,576","1,699","1,681","1,827","1,714","1,897"
Operating Profit,487,504,479,489,731,622,716,743,886,729,888,890,934
OPM %,25%,28%,25%,26%,32%,29%,31%,32%,34%,30%,33%,34%,33%
Other Income+,66,81,86,95,79,79,106,82,86,119,145,14,155
Interest,0,0,1,0,2,0,1,0,1,3,8,6,6
Depreciation,87,93,95,95,95,97,99,99,107,112,113,118,120
Profit before tax,466,492,469,489,713,604,722,726,864,733,912,780,963
Tax %,31%,28%,26%,27%,25%,29%,29%,19%,23%,26%,24%,25%,22%
Net Profit+,321,356,348,358,538,430,510,589,662,545,689,583,751
EPS in Rs,12.09,13.41,13.11,13.49,20.27,16.20,19.21,22.19,24.94,20.53,25.95,21.96,28.29
Raw PDF,,,,,,,,,,,,,
