Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,191,349,371,503,528,640,733,911,"1,275",826,"1,119","1,207","1,244"
Expenses+,218,317,322,411,429,505,567,707,"1,021",643,891,926,"1,045"
Operating Profit,-27,31,48,93,99,135,166,204,254,184,228,282,200
OPM %,-14%,9%,13%,18%,19%,21%,23%,22%,20%,22%,20%,23%,16%
Other Income+,-0,4,16,1,21,18,11,68,36,36,43,31,61
Interest,65,70,64,63,57,56,44,34,35,34,51,50,65
Depreciation,26,29,26,28,30,42,45,47,48,49,51,53,52
Profit before tax,-119,-63,-26,3,31,55,88,190,208,138,169,209,144
Tax %,0%,2%,4%,45%,-4%,24%,4%,42%,8%,29%,29%,40%,27%
Net Profit+,-119,-65,-27,2,33,42,84,110,190,97,121,127,106
EPS in Rs,-0.85,-0.46,-0.17,0.01,0.34,0.07,0.19,0.84,1.35,0.61,0.53,0.68,0.53
Raw PDF,,,,,,,,,,,,,
