Metric,Mar 2015,Mar 2016,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"1,118","1,174","2,020","2,369","2,655","2,860","3,483","4,965","6,754","8,309"
Interest,646,668,"1,183","1,459","1,570","1,587","2,088","3,164","4,141","4,905"
Expenses+,88,84,431,649,495,430,232,85,471,"1,052"
Financing Profit,384,421,406,260,590,843,"1,163","1,716","2,142","2,352"
Financing Margin %,34%,36%,20%,11%,22%,29%,33%,35%,32%,28%
Other Income+,0,1,-72,3,3,14,-0,-1,0,28
Depreciation,5,4,23,23,23,23,24,30,39,44
Profit before tax,379,418,311,241,570,834,"1,139","1,685","2,104","2,337"
Tax %,28%,29%,20%,11%,39%,24%,24%,26%,19%,20%
Net Profit+,272,298,250,215,346,634,865,"1,252","1,699","1,873"
EPS in Rs,346.56,379.86,3.19,2.73,4.42,2.77,3.78,4.66,6.32,6.67
Dividend Payout %,20%,53%,0%,0%,0%,0%,0%,0%,0%,20%
