Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"15,710","15,087","16,834","19,865","21,352","24,367","24,605"
Expenses+,"13,241","12,732","15,124","17,963","19,123","21,252","22,197"
Operating Profit,"2,469","2,355","1,711","1,901","2,229","3,115","2,408"
OPM %,16%,16%,10%,10%,10%,13%,10%
Other Income+,300,33,173,241,205,264,328
Interest,6,20,24,25,32,35,41
Depreciation,242,244,258,300,364,380,396
Profit before tax,"2,521","2,124","1,601","1,817","2,037","2,963","2,300"
Tax %,26%,28%,27%,26%,26%,26%,27%
Net Profit+,"1,854","1,529","1,175","1,345","1,511","2,203","1,685"
EPS in Rs,,,,,,32.46,24.83
Dividend Payout %,0%,87%,193%,185%,138%,0%,0%
