Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,860","1,930","1,942","2,194","2,076","2,172","2,190","2,378","2,192","2,294","2,559","2,805","2,850"
Expenses+,"1,846","1,943","1,957","2,089","2,030","2,076","2,139","2,278","2,072","2,153","2,491","2,596","2,636"
Operating Profit,13,-13,-16,105,46,96,51,100,119,141,68,209,214
OPM %,1%,-1%,-1%,5%,2%,4%,2%,4%,5%,6%,3%,7%,8%
Other Income+,75,108,101,123,111,105,120,99,129,130,96,52,70
Interest,19,20,20,22,27,28,31,33,34,34,39,37,34
Depreciation,242,167,171,183,200,119,131,142,142,147,178,187,183
Profit before tax,-173,-92,-105,23,-71,53,9,24,72,90,-53,37,67
Tax %,-8%,-3%,-2%,50%,-3%,-3%,-18%,-5%,-1%,-2%,-5%,-8%,-8%
Net Profit+,-159,-89,-103,12,-68,54,10,25,73,91,-50,40,72
EPS in Rs,-2.18,-1.22,-1.40,0.16,-0.93,0.74,0.14,0.34,0.97,1.22,-0.67,0.53,0.97
Raw PDF,,,,,,,,,,,,,
