Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"13,874","11,656","12,533","14,747","13,793","13,415","13,024","12,227","12,316","11,880","11,009","11,164","9,442"
Expenses+,"12,931","10,475","11,318","13,042","12,690","11,853","11,822","10,980","10,803","10,721","9,892","9,966","7,581"
Operating Profit,943,"1,182","1,215","1,705","1,104","1,562","1,202","1,247","1,512","1,159","1,117","1,198","1,861"
OPM %,7%,10%,10%,12%,8%,12%,9%,10%,12%,10%,10%,11%,20%
Other Income+,159,145,194,157,154,178,202,196,197,217,234,214,200
Interest,90,75,75,70,71,67,65,65,61,59,61,56,62
Depreciation,189,192,195,195,194,195,196,210,206,207,211,215,205
Profit before tax,823,"1,060","1,140","1,597",992,"1,479","1,142","1,169","1,443","1,110","1,079","1,141","1,794"
Tax %,25%,26%,25%,25%,26%,26%,26%,26%,26%,26%,26%,26%,25%
Net Profit+,619,819,856,"1,213",764,"1,105",871,902,"1,095",842,830,870,"1,371"
EPS in Rs,4.13,5.46,5.70,8.09,5.10,7.37,5.80,6.01,7.30,5.61,5.54,5.80,9.14
Raw PDF,,,,,,,,,,,,,
