Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,840,"1,349","1,048",923,961,"1,314",936,829,942,"1,290","1,300",862,883
Expenses+,343,552,321,334,438,595,395,384,527,674,546,443,492
Operating Profit,498,797,728,589,523,719,541,445,414,617,754,420,391
OPM %,59%,59%,69%,64%,54%,55%,58%,54%,44%,48%,58%,49%,44%
Other Income+,91,122,112,140,142,149,172,146,184,189,140,133,33
Interest,2,3,2,2,2,2,4,4,4,4,4,3,3
Depreciation,80,90,219,115,108,113,196,113,118,108,404,113,98
Profit before tax,507,827,619,612,555,753,513,474,477,694,486,436,323
Tax %,25%,28%,25%,26%,25%,26%,20%,23%,22%,24%,27%,26%,28%
Net Profit+,380,592,465,454,415,560,409,364,371,529,355,324,232
EPS in Rs,9.65,15.02,11.79,11.52,10.52,14.19,10.39,9.22,9.41,13.43,8.99,8.22,5.89
Raw PDF,,,,,,,,,,,,,
