Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"31,559","35,442","41,115","41,603","46,536","51,465","56,946","62,644","79,377","89,346","99,334","119,162"
Expenses+,"30,843","34,637","40,264","40,757","45,570","50,373","55,554","60,805","77,174","87,337","97,179","116,933"
Operating Profit,717,806,851,846,966,"1,092","1,392","1,839","2,203","2,009","2,154","2,229"
OPM %,2%,2%,2%,2%,2%,2%,2%,3%,3%,2%,2%,2%
Other Income+,64,34,41,39,-8,44,89,88,142,264,854,33
Interest,182,202,183,197,271,289,205,163,355,517,456,359
Depreciation,43,47,55,57,63,155,148,141,155,181,218,206
Profit before tax,555,590,655,631,623,692,"1,128","1,622","1,833","1,575","2,335","1,697"
Tax %,26%,25%,27%,23%,22%,23%,30%,19%,21%,21%,22%,24%
Net Profit+,410,444,477,484,484,534,788,"1,315","1,439","1,239","1,821","1,284"
EPS in Rs,4.84,5.30,5.80,6.02,6.53,6.62,9.74,16.38,17.82,15.59,20.53,19.06
Dividend Payout %,20%,20%,37%,20%,18%,32%,60%,40%,40%,40%,33%,31%
