Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"4,285","5,027","5,588","6,331","3,696","4,707","5,292","5,111","5,501","7,274","8,513","9,809"
Interest,"1,782","1,814","1,735","1,344","1,770","2,427","2,659","2,236","2,410","3,418","4,226","4,745"
Expenses+,"1,505","2,221","2,735","3,906",932,"1,222","1,235","1,392","1,285","1,632","1,667","2,126"
Financing Profit,999,992,"1,118","1,080",994,"1,057","1,398","1,483","1,806","2,224","2,620","2,938"
Financing Margin %,23%,20%,20%,17%,27%,22%,26%,29%,33%,31%,31%,30%
Other Income+,-27,7,8,13,482,48,24,35,43,-80,50,-11
Depreciation,112,106,104,79,58,90,93,101,139,183,223,246
Profit before tax,860,893,"1,022","1,014","1,418","1,016","1,330","1,417","1,711","1,961","2,447","2,681"
Tax %,33%,34%,34%,34%,27%,21%,25%,25%,25%,27%,26%,25%
Net Profit+,644,662,768,843,"1,258",845,"1,223","1,296","1,510","1,842","1,879","2,059"
EPS in Rs,51.83,52.49,61.52,65.70,104.49,71.25,104.87,105.61,119.51,129.25,169.17,185.32
Dividend Payout %,20%,21%,19%,18%,17%,18%,17%,19%,22%,23%,21%,13%
