Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"14,907","11,710","15,247","16,338","19,510","18,240","31,275","31,182","31,415","46,576","46,469","47,674"
Expenses+,"14,188","11,179","14,476","15,807","19,003","17,788","30,689","30,769","30,862","46,150","45,994","47,462"
Operating Profit,718,531,771,531,507,452,585,413,554,426,476,212
OPM %,5%,5%,5%,3%,3%,2%,2%,1%,2%,1%,1%,0%
Other Income+,30,2,2,1,3,2,13,6,16,36,21,23
Interest,82,8,9,0,27,0,0,25,37,44,47,112
Depreciation,154,60,63,2,2,11,5,5,5,3,3,2
Profit before tax,512,465,702,530,481,442,593,389,527,415,447,121
Tax %,29%,15%,15%,17%,13%,38%,6%,18%,14%,5%,10%,13%
Net Profit+,365,393,593,442,416,273,560,318,452,393,403,106
EPS in Rs,10.49,9.47,14.79,10.67,9.75,5.38,12.33,7.34,10.97,9.85,9.48,2.43
Dividend Payout %,48%,38%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
