Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,577,693,739,763,915,978,989,"1,057","1,166","1,314","1,542","1,818","2,115"
Interest,173,230,216,224,281,320,352,385,458,546,638,739,844
Expenses+,152,194,207,178,241,272,"1,260",632,615,662,784,855,910
Financing Profit,251,269,316,361,393,386,-622,40,93,105,121,224,362
Financing Margin %,44%,39%,43%,47%,43%,39%,-63%,4%,8%,8%,8%,12%,17%
Other Income+,23,40,829,11,7,18,8,0,7,0,0,0,5
Depreciation,19,15,15,15,14,15,16,15,20,22,22,24,26
Profit before tax,254,293,"1,130",357,385,390,-630,25,80,83,99,200,341
Tax %,22%,23%,24%,26%,14%,25%,-25%,26%,22%,25%,25%,25%,25%
Net Profit+,199,226,860,265,332,292,-471,19,62,63,74,150,255
EPS in Rs,2.58,2.94,11.19,3.45,4.28,3.76,-6.06,0.24,0.80,0.80,0.91,1.85,3.13
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
