Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"203,872","198,551","179,246","199,906","198,650","193,845","174,976","194,014","195,270","192,341","178,628","205,157","208,289"
Expenses+,"186,236","174,851","156,075","183,172","186,675","183,923","171,509","186,442","180,241","179,073","162,383","182,412","183,485"
Operating Profit,"17,637","23,700","23,171","16,733","11,975","9,921","3,467","7,573","15,029","13,267","16,245","22,745","24,804"
OPM %,9%,12%,13%,8%,6%,5%,2%,4%,8%,7%,9%,11%,12%
Other Income+,"1,368",970,829,"1,916","1,686","1,102","2,556","1,936","1,519","1,732","1,356","1,627","2,424"
Interest,"1,957","1,743","1,977","1,958","2,147","2,080","2,546","2,458","2,178","2,070","2,270","2,088","1,880"
Depreciation,"3,288","3,476","3,610","4,686","4,094","4,103","4,065","4,284","4,325","4,179","4,227","4,457","5,557"
Profit before tax,"13,759","19,450","18,413","12,005","7,420","4,841",-589,"2,766","10,045","8,750","11,104","17,827","19,791"
Tax %,21%,24%,26%,23%,26%,23%,-24%,22%,17%,22%,26%,24%,23%
Net Profit+,"10,841","14,735","13,713","9,225","5,488","3,723",-449,"2,147","8,368","6,808","8,191","13,502","15,176"
EPS in Rs,7.29,10.22,9.29,6.39,3.65,2.50,-0.12,1.50,5.75,4.83,5.54,9.21,10.24
Raw PDF,,,,,,,,,,,,,
