Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,624","2,226","1,890","2,241","3,328","2,865","2,276","2,807","4,019","2,982","2,422","2,925","4,072"
Expenses+,"2,445","2,081","1,768","2,086","3,086","2,628","2,127","2,599","3,740","2,784","2,240","2,705","3,746"
Operating Profit,179,145,123,155,242,238,149,209,279,199,182,220,326
OPM %,7%,7%,6%,7%,7%,8%,7%,7%,7%,7%,8%,8%,8%
Other Income+,179,9,13,13,13,24,19,21,24,16,10,-44,45
Interest,18,18,18,10,12,8,6,16,19,10,17,22,23
Depreciation,23,23,23,23,28,28,30,35,35,41,43,46,48
Profit before tax,317,114,95,134,214,226,131,179,249,163,132,108,300
Tax %,29%,27%,26%,25%,25%,25%,27%,26%,22%,26%,25%,25%,24%
Net Profit+,225,83,71,100,160,169,96,132,194,121,99,81,227
EPS in Rs,11.70,4.33,3.44,4.88,7.81,8.21,4.68,6.45,9.42,5.88,4.82,3.92,11.04
Raw PDF,,,,,,,,,,,,,
