Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"13,873","12,928","12,267","12,828","13,223","14,154","14,460","16,839","18,230","17,059","17,605","18,603","21,465"
Expenses+,"13,755","12,798","12,123","12,324","12,866","13,528","13,845","16,047","17,781","16,693","16,916","18,050","20,941"
Operating Profit,118,130,144,505,357,626,615,792,448,366,688,553,524
OPM %,1%,1%,1%,4%,3%,4%,4%,5%,2%,2%,4%,3%,2%
Other Income+,313,66,11,59,104,54,56,67,62,206,-79,106,159
Interest,210,171,220,187,171,166,177,204,178,159,189,185,174
Depreciation,92,94,96,95,79,96,92,108,98,103,107,111,128
Profit before tax,129,-68,-162,281,211,418,402,546,234,311,313,363,380
Tax %,28%,-12%,-19%,27%,27%,25%,30%,28%,25%,25%,27%,28%,29%
Net Profit+,94,-79,-131,201,157,313,311,411,191,238,245,269,293
EPS in Rs,0.72,-0.61,-1.01,1.55,1.21,2.41,2.39,3.16,1.46,1.82,1.88,2.07,2.25
Raw PDF,,,,,,,,,,,,,
