Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,636,669,830,977,740,920,"1,139","1,422"
Expenses+,595,630,760,879,679,811,999,"1,165"
Operating Profit,41,39,69,98,61,109,140,257
OPM %,6%,6%,8%,10%,8%,12%,12%,18%
Other Income+,3,252,4,0,4,3,5,2
Interest,9,10,11,12,11,7,5,8
Depreciation,4,6,9,12,10,11,12,23
Profit before tax,30,277,53,74,44,94,127,228
Tax %,26%,15%,24%,26%,25%,25%,25%,26%
Net Profit+,23,234,40,55,33,70,96,169
EPS in Rs,2.20,21.28,3.66,5.01,2.99,5.97,8.17,14.36
Raw PDF,,,,,,,,
