Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"4,324","3,889","4,218","4,340","5,592","4,698","5,498","5,226","6,986","5,906","6,477","7,636","8,864"
Expenses+,"3,721","3,341","3,609","3,771","4,830","4,115","4,867","4,506","5,960","5,048","5,456","6,670","7,703"
Operating Profit,603,549,609,570,762,583,632,720,"1,025",858,"1,021",966,"1,161"
OPM %,14%,14%,14%,13%,14%,12%,11%,14%,15%,15%,16%,13%,13%
Other Income+,52,64,35,71,54,58,76,25,48,80,45,50,60
Interest,28,25,27,32,24,41,45,50,33,51,48,69,75
Depreciation,53,57,60,62,66,67,72,79,80,86,97,106,98
Profit before tax,573,530,557,546,725,533,590,617,961,801,921,842,"1,049"
Tax %,25%,24%,23%,24%,24%,25%,25%,25%,24%,25%,25%,25%,25%
Net Profit+,429,403,430,417,553,402,445,464,734,600,693,630,786
EPS in Rs,28.38,26.67,28.37,27.49,36.34,26.34,29.24,30.42,48.31,39.34,45.54,41.30,51.33
Raw PDF,,,,,,,,,,,,,
