Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,402,528,"1,072","1,028","1,131","1,152","1,739"
Expenses+,310,326,711,677,732,739,"1,168"
Operating Profit,93,202,361,350,399,413,571
OPM %,23%,38%,34%,34%,35%,36%,33%
Other Income+,11,10,3,14,18,16,5
Interest,17,37,46,53,55,33,13
Depreciation,23,54,66,72,71,74,79
Profit before tax,64,122,253,240,292,322,484
Tax %,45%,19%,18%,22%,18%,18%,19%
Net Profit+,35,99,207,188,238,264,392
EPS in Rs,32.54,91.92,38.39,3.16,4.01,3.81,5.67
Raw PDF,,,,,,,
