Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"29,131","24,359","29,712","23,349","27,959","23,998","24,675","24,490","29,316","25,922","26,704","27,371","30,813"
Expenses+,"26,206","22,710","25,837","21,206","24,476","21,778","21,762","22,460","25,832","23,153","24,176","25,077","26,405"
Operating Profit,"2,924","1,649","3,875","2,142","3,483","2,220","2,913","2,030","3,484","2,769","2,528","2,294","4,409"
OPM %,10%,7%,13%,9%,12%,9%,12%,8%,12%,11%,9%,8%,14%
Other Income+,519,527,-174,355,-43,-28,322,393,362,235,-34,248,202
Interest,517,613,605,614,642,691,758,680,664,595,484,547,532
Depreciation,"1,365","1,275","1,327","1,321","1,356","1,402","1,304","1,421","1,524","1,441","1,453","1,516","1,577"
Profit before tax,"1,562",288,"1,770",563,"1,441",98,"1,173",323,"1,657",968,556,480,"2,502"
Tax %,26%,26%,26%,25%,22%,17%,24%,56%,25%,23%,25%,22%,27%
Net Profit+,"1,159",212,"1,306",423,"1,126",82,897,142,"1,251",745,419,374,"1,835"
EPS in Rs,2.81,0.51,3.16,1.02,2.73,0.20,2.17,0.34,3.03,1.80,1.01,0.91,4.44
Raw PDF,,,,,,,,,,,,,
