Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"4,882","4,241","4,518","4,896","5,971","4,587","4,930","5,732","7,067","6,171","6,529","6,665","7,778"
Expenses+,"4,550","3,859","4,148","4,472","5,519","4,208","4,492","5,253","6,529","5,646","5,967","6,152","7,138"
Operating Profit,332,382,371,424,452,379,438,479,538,525,561,513,640
OPM %,7%,9%,8%,9%,8%,8%,9%,8%,8%,9%,9%,8%,8%
Other Income+,122,18,12,14,20,22,17,10,13,16,23,-1,103
Interest,132,115,137,124,142,144,150,164,118,122,137,137,105
Depreciation,110,120,113,121,119,119,117,123,138,129,126,128,127
Profit before tax,212,165,132,193,211,137,188,202,296,290,322,247,511
Tax %,34%,32%,32%,25%,20%,39%,33%,31%,26%,26%,26%,40%,16%
Net Profit+,140,113,90,144,169,84,126,140,218,214,237,149,431
EPS in Rs,9.60,7.08,5.47,8.68,10.12,5.71,7.73,8.31,13.20,12.51,14.06,8.91,25.43
Raw PDF,,,,,,,,,,,,,
