Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,598","2,162","2,220","2,311","2,527","2,794","3,005","2,340","3,073","3,800","3,008","2,618","3,502"
Expenses+,334,81,521,645,693,415,788,460,671,758,405,377,620
Operating Profit,"2,264","2,081","1,699","1,666","1,834","2,379","2,217","1,880","2,402","3,042","2,603","2,241","2,882"
OPM %,87%,96%,77%,72%,73%,85%,74%,80%,78%,80%,87%,86%,82%
Other Income+,265,178,353,264,234,271,294,280,39,189,158,208,117
Interest,"1,338","1,393","1,165","1,242","1,224","1,426","1,448","1,251","1,368","1,525","1,635","1,698","1,626"
Depreciation,392,451,474,481,497,596,621,618,663,767,834,886,885
Profit before tax,799,415,413,207,347,628,442,291,410,939,292,-135,488
Tax %,38%,34%,29%,33%,24%,28%,6%,-37%,29%,25%,-81%,-27%,11%
Net Profit+,507,323,371,256,310,629,515,474,383,824,644,5,514
EPS in Rs,3.21,2.03,2.35,1.62,0.95,2.82,1.74,3.11,1.45,4.39,3.54,-0.25,2.41
Raw PDF,,,,,,,,,,,,,
