Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"3,674","4,905","5,688","6,401","7,357","8,344","8,865","10,634","11,599","12,668","12,965","14,712"
Expenses+,"3,248","4,038","4,687","5,392","6,237","6,868","6,920","8,580","9,977","10,419","10,452","11,707"
Operating Profit,427,866,"1,001","1,009","1,120","1,476","1,945","2,054","1,622","2,249","2,512","3,005"
OPM %,12%,18%,18%,16%,15%,18%,22%,19%,14%,18%,19%,20%
Other Income+,176,227,110,115,82,102,230,146,101,186,494,409
Interest,81,71,45,55,55,65,59,52,107,112,122,161
Depreciation,71,93,101,143,193,253,275,304,310,299,357,382
Profit before tax,451,928,965,926,955,"1,260","1,842","1,844","1,305","2,023","2,527","2,871"
Tax %,13%,19%,6%,31%,19%,9%,12%,9%,23%,10%,12%,18%
Net Profit+,392,752,905,638,774,"1,149","1,618","1,680","1,007","1,811","2,215","2,351"
EPS in Rs,32.75,62.02,74.61,52.77,63.61,94.26,132.57,137.63,82.31,150.19,181.11,192.51
Dividend Payout %,12%,20%,20%,25%,25%,27%,23%,25%,61%,27%,25%,28%
