Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"1,852","1,843","1,865","2,013","2,065","2,188","2,518","2,760","2,845","2,937","3,219","3,431","3,563"
Interest,"1,150","1,191","1,217","1,313","1,240","1,464","1,662","1,762","1,859","1,976","2,147","2,394","2,413"
Expenses+,-155,60,55,12,8,47,-138,73,-28,109,147,320,587
Financing Profit,857,592,593,688,817,678,994,924,"1,014",852,926,717,563
Financing Margin %,46%,32%,32%,34%,40%,31%,39%,33%,36%,29%,29%,21%,16%
Other Income+,10,9,16,10,129,9,8,10,10,8,32,74,62
Depreciation,3,2,2,2,2,2,3,3,4,3,3,3,4
Profit before tax,864,598,606,696,943,685,"1,000",932,"1,020",857,955,788,621
Tax %,26%,25%,26%,25%,26%,19%,31%,21%,29%,26%,26%,10%,-219%
Net Profit+,639,446,452,519,700,558,689,735,728,630,710,713,"1,981"
EPS in Rs,3.19,2.23,2.26,2.59,3.50,2.79,3.44,3.67,3.64,3.15,3.55,3.56,9.90
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
