Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"46,962","42,213","44,584","41,940","46,269","42,943","39,684","41,378","44,819","43,147","45,152","45,991","51,180"
Expenses+,"39,031","35,201","36,722","34,776","40,243","37,445","34,309","35,799","38,684","35,671","38,125","39,612","42,716"
Operating Profit,"7,931","7,012","7,862","7,164","6,026","5,498","5,375","5,579","6,135","7,476","7,027","6,379","8,464"
OPM %,17%,17%,18%,17%,13%,13%,14%,13%,14%,17%,16%,14%,17%
Other Income+,465,331,826,194,242,164,-189,50,186,350,284,-256,"18,229"
Interest,"2,138","1,963","2,084","1,996","2,062","2,073","2,130","2,115","2,094","2,217","2,413","2,304","2,168"
Depreciation,"2,009","1,900","2,019","2,059","2,194","2,209","2,267","2,336","2,497","2,537","2,554","2,362","2,148"
Profit before tax,"4,249","3,480","4,585","3,303","2,012","1,380",789,"1,178","1,730","3,072","2,344","1,457","22,377"
Tax %,12%,30%,40%,26%,34%,37%,49%,39%,13%,28%,30%,-65%,14%
Net Profit+,"3,741","2,428","2,773","2,450","1,322",867,404,719,"1,501","2,209","1,646","2,410","19,243"
EPS in Rs,15.16,9.67,11.29,9.88,5.31,3.46,1.80,2.93,6.15,8.93,6.64,8.75,66.94
Raw PDF,,,,,,,,,,,,,
