Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"33,462","31,065","30,221","31,965","37,727","34,610","34,223","35,378","44,267","40,118","39,900","44,312","51,101"
Expenses+,"27,332","24,708","24,173","25,073","29,835","27,927","28,197","28,575","35,517","31,296","32,228","35,442","40,225"
Operating Profit,"6,131","6,357","6,048","6,893","7,892","6,682","6,026","6,804","8,750","8,822","7,671","8,870","10,876"
OPM %,18%,20%,20%,22%,21%,19%,18%,19%,20%,22%,19%,20%,21%
Other Income+,308,296,285,256,-48,247,403,382,485,372,406,65,259
Interest,"1,816","2,032","2,226","2,433","2,586","2,795","3,027","3,270","3,407","3,551","3,669","3,909","4,015"
Depreciation,"1,207","1,183","1,245","1,244","1,329","1,443","1,572","1,608","1,831","1,810","1,899","1,975","2,042"
Profit before tax,"3,415","3,438","2,862","3,472","3,928","2,691","1,830","2,308","3,996","3,834","2,510","3,051","5,078"
Tax %,31%,25%,29%,25%,31%,23%,46%,25%,26%,28%,40%,27%,25%
Net Profit+,"2,356","2,576","2,024","2,603","2,722","2,066",983,"1,734","2,973","2,767","1,498","2,233","3,802"
EPS in Rs,20.12,23.17,17.10,22.25,20.80,16.33,4.78,12.45,21.98,20.85,8.13,15.23,28.77
Raw PDF,,,,,,,,,,,,,
