Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"8,651","9,427","9,376","11,905","13,166","14,253","15,102","15,265","17,237","19,547","23,242","27,148"
Expenses+,"6,896","7,095","7,474","9,074","10,174","11,455","11,758","11,923","13,378","14,163","16,183","18,673"
Operating Profit,"1,756","2,332","1,902","2,831","2,991","2,798","3,344","3,342","3,860","5,384","7,058","8,475"
OPM %,20%,25%,20%,24%,23%,20%,22%,22%,22%,28%,30%,31%
Other Income+,45,112,127,111,183,-264,-171,"2,581",-422,293,50,-7
Interest,68,53,45,91,194,342,164,127,130,81,166,439
Depreciation,287,292,373,539,599,696,725,713,723,764,916,"1,408"
Profit before tax,"1,446","2,099","1,612","2,312","2,382","1,495","2,285","5,084","2,585","4,832","6,027","6,621"
Tax %,18%,8%,8%,24%,22%,21%,6%,10%,23%,20%,23%,24%
Net Profit+,"1,188","1,964","1,517","1,810","1,899","1,204","2,185","4,618","2,092","3,973","4,673","5,124"
EPS in Rs,11.24,18.89,14.53,17.35,18.06,11.49,20.84,43.83,19.37,38.36,44.97,50.09
Dividend Payout %,21%,17%,22%,20%,19%,30%,17%,6%,31%,8%,24%,2%
