Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"6,236","8,249","7,926","9,677","11,907","12,443","5,449","9,233","9,470","10,316","13,780","16,676"
Expenses+,"4,769","6,123","6,313","7,995","8,728","10,526","4,066","7,047","7,406","7,651","9,791","11,755"
Operating Profit,"1,467","2,126","1,614","1,682","3,179","1,917","1,383","2,186","2,064","2,665","3,989","4,921"
OPM %,24%,26%,20%,17%,27%,15%,25%,24%,22%,26%,29%,30%
Other Income+,423,510,584,285,72,119,-140,293,"-1,037",48,390,452
Interest,492,988,736,390,568,740,"1,136",688,482,482,552,657
Depreciation,128,450,460,395,194,292,73,75,93,204,272,345
Profit before tax,"1,269","1,198","1,001","1,182","2,489","1,003",33,"1,716",452,"2,028","3,556","4,371"
Tax %,37%,41%,42%,33%,34%,26%,-44%,30%,-8%,23%,22%,22%
Net Profit+,798,703,584,794,"1,644",742,48,"1,208",490,"1,554","2,767","3,431"
EPS in Rs,18.46,16.25,12.91,10.03,20.66,9.19,0.51,12.49,5.05,15.58,27.71,34.32
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,20%,14%,15%,12%
