Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"7,488","7,826","8,783","9,915","11,635","13,590","14,314","14,382","17,812","23,565","28,106","29,674"
Interest,"5,056","5,259","5,653","6,226","7,316","8,678","8,435","7,959","9,975","14,495","17,631","17,772"
Expenses+,"1,701","2,529","2,749","3,331","3,572","4,608","5,527","5,758","5,828","6,792","8,523","10,637"
Financing Profit,731,38,382,358,747,304,352,664,"2,009","2,278","1,952","1,265"
Financing Margin %,10%,0%,4%,4%,6%,2%,2%,5%,11%,10%,7%,4%
Other Income+,879,808,"1,084","1,160","1,335","1,882","1,972","2,121","2,436","3,216","3,924","4,598"
Depreciation,79,108,124,125,122,126,115,139,182,234,288,0
Profit before tax,"1,530",739,"1,342","1,393","1,960","2,060","2,209","2,646","4,263","5,261","5,588","5,863"
Tax %,34%,34%,36%,35%,35%,25%,25%,26%,26%,25%,25%,24%
Net Profit+,"1,058",486,867,935,"1,318","1,590","1,680","1,996","3,210","3,964","4,234","4,491"
EPS in Rs,6.17,2.83,5.03,4.74,6.63,7.93,8.34,9.37,14.95,15.93,16.93,17.63
Dividend Payout %,18%,25%,18%,21%,21%,0%,8%,19%,7%,8%,7%,7%
