Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,601,756,898,923,"1,016","1,010","1,153","1,271","1,642","1,310","1,677","1,896","2,119"
Expenses+,581,710,849,874,925,953,"1,084","1,196","1,421","1,198","1,521","1,724","1,764"
Operating Profit,20,46,49,49,91,56,69,75,221,112,156,172,355
OPM %,3%,6%,5%,5%,9%,6%,6%,6%,13%,9%,9%,9%,17%
Other Income+,70,71,72,82,76,74,75,72,114,73,69,62,71
Interest,4,5,2,1,3,4,2,2,1,6,4,4,3
Depreciation,10,10,10,10,10,10,11,11,10,12,12,12,13
Profit before tax,76,102,107,119,153,115,131,134,324,167,209,218,411
Tax %,28%,25%,25%,26%,27%,24%,25%,27%,25%,28%,27%,22%,26%
Net Profit+,55,77,81,88,112,87,98,98,244,120,154,171,303
EPS in Rs,4.83,6.69,7.05,7.70,9.74,7.61,8.53,8.57,21.32,10.49,13.43,14.91,26.47
Raw PDF,,,,,,,,,,,,,
