Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"12,495","3,915","5,636","6,061","14,769","4,348","5,976","6,957","13,700","4,819","6,629","7,699","13,942"
Expenses+,"9,262","3,039","4,108","4,626","8,867","3,357","4,336","5,275","8,405","3,537","5,071","5,828","8,884"
Operating Profit,"3,232",877,"1,528","1,435","5,901",991,"1,640","1,683","5,295","1,282","1,558","1,871","5,059"
OPM %,26%,22%,27%,24%,40%,23%,27%,24%,39%,27%,24%,24%,36%
Other Income+,722,414,474,467,569,742,560,637,669,757,895,927,"1,164"
Interest,55,0,0,0,31,0,0,0,8,0,0,1,4
Depreciation,"1,056",201,350,212,644,149,178,277,736,185,226,310,634
Profit before tax,"2,844","1,089","1,651","1,689","5,795","1,584","2,023","2,042","5,219","1,854","2,227","2,487","5,584"
Tax %,0%,25%,25%,25%,26%,9%,25%,30%,24%,25%,25%,25%,25%
Net Profit+,"2,831",814,"1,237","1,262","4,309","1,437","1,510","1,440","3,977","1,384","1,669","1,867","4,196"
EPS in Rs,42.33,12.17,18.49,18.86,64.43,21.49,22.59,21.53,59.46,20.69,24.96,27.91,62.74
Raw PDF,,,,,,,,,,,,,
