Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,778","2,763","2,753","2,935","3,106","2,808","2,560","2,930","3,581","3,353","3,019","3,463","3,888"
Expenses+,"2,428","2,355","2,286","2,310","2,546","2,321","2,276","2,438","2,816","2,665","2,573","2,906","3,205"
Operating Profit,350,408,467,625,560,486,284,492,765,688,447,557,682
OPM %,13%,15%,17%,21%,18%,17%,11%,17%,21%,21%,15%,16%,18%
Other Income+,38,17,29,38,55,45,140,45,46,56,51,-2,41
Interest,101,109,115,114,115,110,123,112,113,109,105,113,98
Depreciation,132,135,141,140,153,147,146,146,162,146,149,175,182
Profit before tax,154,181,241,409,347,273,155,279,535,489,243,268,444
Tax %,31%,37%,27%,31%,37%,32%,12%,32%,32%,34%,34%,35%,25%
Net Profit+,107,113,176,284,220,185,136,190,361,324,159,174,331
EPS in Rs,14.17,14.84,22.69,36.73,28.44,23.98,16.28,24.54,46.64,41.99,20.78,22.60,43.08
Raw PDF,,,,,,,,,,,,,
