Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"1,776","2,030","2,161","2,305","2,348","2,488","2,633","2,560","2,361","2,262","2,273","2,354","2,614"
Interest,589,648,689,749,779,848,906,925,895,855,876,945,"1,109"
Expenses+,587,671,675,729,773,846,892,"1,191","1,637","1,233","1,018","1,034",877
Financing Profit,600,710,796,827,796,793,835,444,-172,174,380,375,627
Financing Margin %,34%,35%,37%,36%,34%,32%,32%,17%,-7%,8%,17%,16%,24%
Other Income+,23,27,13,21,14,24,4,3,2,3,2,5,12
Depreciation,56,56,62,62,65,64,67,70,66,75,79,77,75
Profit before tax,567,681,747,786,746,753,773,376,-236,102,302,303,564
Tax %,27%,27%,25%,27%,24%,26%,26%,26%,-14%,-30%,28%,21%,28%
Net Profit+,415,498,561,575,564,557,572,278,-203,132,217,239,405
EPS in Rs,4.88,5.86,6.60,6.77,6.63,6.55,6.74,3.33,-2.26,1.63,2.60,2.85,4.30
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
