Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"53,319","62,441","68,484","70,522","82,675","90,791","100,472","121,641","146,767","153,670","162,990","178,650"
Expenses+,"38,436","45,362","49,880","51,700","62,505","68,524","72,583","90,150","111,637","117,245","123,754","136,370"
Operating Profit,"14,883","17,079","18,604","18,822","20,170","22,267","27,889","31,491","35,130","36,425","39,236","42,280"
OPM %,28%,27%,27%,27%,24%,25%,28%,26%,24%,24%,24%,24%
Other Income+,"3,430","3,120","3,050","3,311","2,882","2,803","2,201","2,295","2,701","4,711","3,600","3,033"
Interest,12,0,0,0,0,170,195,200,284,470,416,416
Depreciation,"1,017","1,459","1,703","1,863","2,011","2,893","3,267","3,476","4,225","4,678","4,812","4,902"
Profit before tax,"17,284","18,740","19,951","20,270","21,041","22,007","26,628","30,110","33,322","35,988","37,608","39,995"
Tax %,28%,28%,28%,21%,27%,24%,27%,26%,28%,27%,29%,26%
Net Profit+,"12,372","13,489","14,353","16,029","15,410","16,639","19,423","22,146","24,108","26,248","26,750","29,474"
EPS in Rs,26.93,29.36,31.24,36.69,35.26,38.96,45.42,52.56,58.08,63.20,64.32,72.59
Dividend Payout %,55%,41%,41%,59%,60%,45%,59%,59%,58%,73%,67%,66%
