Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,145","1,075","1,020",966,"1,074","1,024","1,045","1,057","1,051","1,038","1,121","1,051","1,179"
Expenses+,"1,043",958,902,871,983,915,921,918,905,896,985,924,"1,016"
Operating Profit,102,117,118,96,91,110,124,138,147,142,135,126,163
OPM %,9%,11%,12%,10%,8%,11%,12%,13%,14%,14%,12%,12%,14%
Other Income+,9,8,9,9,10,10,10,9,8,11,11,-4,9
Interest,6,11,13,15,14,14,15,12,14,13,12,12,12
Depreciation,30,32,34,34,36,39,40,40,39,41,41,45,48
Profit before tax,76,81,80,55,51,66,80,96,102,100,93,65,112
Tax %,31%,29%,28%,30%,43%,26%,26%,27%,27%,25%,25%,28%,23%
Net Profit+,52,58,57,39,29,49,59,69,74,75,69,47,86
EPS in Rs,3.28,3.62,3.61,2.42,1.84,3.06,3.70,4.36,4.65,4.71,4.36,2.94,5.43
Raw PDF,,,,,,,,,,,,,
