Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,619","3,741","3,734","3,804","3,927","4,352","4,214","4,444","4,608","4,779","4,966","5,112","5,434"
Expenses+,"3,107","3,196","3,197","3,232","3,297","3,685","3,588","3,879","3,987","4,172","4,294","4,391","4,641"
Operating Profit,512,545,537,572,630,667,626,565,621,607,672,721,792
OPM %,14%,15%,14%,15%,16%,15%,15%,13%,13%,13%,14%,14%,15%
Other Income+,49,53,75,-32,-177,22,19,45,102,41,38,10,55
Interest,28,26,28,33,43,94,99,58,40,34,33,32,38
Depreciation,83,82,94,86,116,148,149,150,153,149,153,159,165
Profit before tax,450,489,491,422,294,448,397,402,530,465,523,540,644
Tax %,23%,27%,27%,25%,9%,30%,10%,25%,23%,26%,24%,25%,24%
Net Profit+,290,338,364,302,212,289,367,282,349,332,407,385,424
EPS in Rs,2.78,3.28,3.51,2.89,2.19,2.93,3.68,2.82,3.49,3.38,4.09,3.89,4.24
Raw PDF,,,,,,,,,,,,,
