Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"11,668","5,558","6,085","6,621","6,826","6,743","13,954","27,717","28,382","28,601","30,123","32,493"
Expenses+,"6,664","3,070","3,260","3,464","3,714","3,185","6,775","12,816","18,713","14,044","9,473","14,680"
Operating Profit,"5,004","2,488","2,825","3,157","3,112","3,558","7,179","14,901","9,669","14,557","20,650","17,813"
OPM %,43%,45%,46%,48%,46%,53%,51%,54%,34%,51%,69%,55%
Other Income+,522,"1,679","1,960","1,599","1,559","1,846","1,262",458,85,"1,490",764,477
Interest,290,33,39,46,53,335,836,"1,603","1,670","1,864","1,858","1,552"
Depreciation,"2,185","1,155","1,166","1,180","1,066","1,282","2,848","5,325","5,324","6,060","6,402","7,141"
Profit before tax,"3,052","2,979","3,580","3,529","3,553","3,788","4,757","8,431","2,759","8,122","13,154","9,598"
Tax %,35%,25%,23%,29%,30%,13%,21%,24%,26%,26%,24%,26%
Net Profit+,"1,992","2,247","2,747","2,494","2,494","3,299","3,779","6,373","2,040","6,036","9,932","7,145"
EPS in Rs,10.52,11.85,14.85,13.48,13.48,17.83,14.02,23.65,7.57,22.40,37.65,27.08
Dividend Payout %,105%,25%,108%,104%,111%,59%,143%,47%,0%,0%,0%,52%
