Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,016","1,072","1,204","1,670","1,816",832,"1,787","1,822","1,677","1,717","2,071","3,078"
Expenses+,888,962,981,"1,399","1,310","1,074","1,376","1,310","1,185","1,170","1,332","1,616"
Operating Profit,128,110,223,271,506,-242,411,512,492,547,738,"1,462"
OPM %,13%,10%,18%,16%,28%,-29%,23%,28%,29%,32%,36%,48%
Other Income+,67,52,27,41,37,57,35,50,96,54,78,-24
Interest,1,3,14,26,60,62,64,30,17,17,8,5
Depreciation,113,119,142,165,253,291,295,150,175,175,176,200
Profit before tax,80,40,94,122,230,-538,87,382,396,410,634,"1,233"
Tax %,16%,5%,34%,35%,37%,6%,-26%,2%,25%,28%,26%,25%
Net Profit+,68,38,62,80,146,-569,110,374,295,295,469,921
EPS in Rs,0.73,0.41,0.67,0.86,1.57,-6.15,1.19,3.87,3.05,3.05,4.85,9.52
Dividend Payout %,21%,0%,30%,29%,33%,0%,29%,30%,30%,30%,30%,30%
