Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"3,090","3,347","3,891","4,123","5,514","6,300","7,143","8,184","11,174","14,756","15,262","16,927"
Expenses+,"2,394","2,957","2,912","3,294","4,121","4,696","5,562","6,391","8,762","11,540","12,008","13,472"
Operating Profit,696,390,980,829,"1,394","1,604","1,581","1,793","2,412","3,216","3,254","3,455"
OPM %,23%,12%,25%,20%,25%,25%,22%,22%,22%,22%,21%,20%
Other Income+,158,639,173,228,340,199,260,72,18,853,"1,217",-60
Interest,9,29,26,62,71,65,58,68,419,974,897,990
Depreciation,221,249,277,385,448,552,715,814,"1,113","1,569","1,687","1,957"
Profit before tax,624,751,850,610,"1,215","1,186","1,068",983,897,"1,525","1,887",448
Tax %,15%,19%,19%,26%,17%,27%,21%,22%,28%,15%,24%,18%
Net Profit+,528,609,688,453,"1,003",871,846,772,643,"1,298","1,429",369
EPS in Rs,4.14,4.59,5.10,3.10,7.54,6.24,6.17,5.40,3.85,8.52,8.44,2.38
Dividend Payout %,20%,18%,10%,16%,7%,0%,0%,9%,39%,6%,6%,21%
