Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"3,438","3,808","3,117","3,038","3,547","3,687","3,337","3,509","5,690","5,255","5,323","5,409"
Expenses+,"2,005","1,823","1,686","1,838","2,480","2,470","1,683","1,969","2,563","2,234","2,646","2,261"
Operating Profit,"1,433","1,985","1,431","1,200","1,067","1,217","1,653","1,540","3,128","3,022","2,677","3,148"
OPM %,42%,52%,46%,40%,30%,33%,50%,44%,55%,58%,50%,58%
Other Income+,276,119,506,102,269,211,232,148,481,664,834,903
Interest,301,288,378,455,521,450,242,370,343,265,236,136
Depreciation,610,608,678,769,773,743,700,698,712,726,813,889
Profit before tax,798,"1,208",882,79,42,235,943,620,"2,554","2,694","2,462","3,026"
Tax %,6%,9%,14%,367%,151%,12%,3%,-2%,-1%,3%,5%,3%
Net Profit+,748,"1,097",755,-210,-21,207,919,630,"2,575","2,614","2,344","2,943"
EPS in Rs,49.63,72.76,50.07,-13.96,-1.42,14.09,62.50,44.09,180.36,183.11,164.20,206.11
Dividend Payout %,22%,19%,20%,-52%,-380%,57%,14%,22%,16%,20%,18%,11%
