Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"7,966","8,003","8,555","8,922","9,484","9,605","10,090","10,698","11,454","11,536","11,912","12,171","12,513"
Interest,"3,361","3,488","3,622","3,707","3,988","4,129","4,350","4,751","5,224","5,401","5,525","5,259","5,336"
Expenses+,"2,341","2,141","2,454","2,634","2,712","2,661","2,836","3,033","3,293","3,062","3,109","3,397","3,104"
Financing Profit,"2,265","2,374","2,480","2,581","2,783","2,815","2,903","2,914","2,937","3,073","3,279","3,514","4,073"
Financing Margin %,28%,30%,29%,29%,29%,29%,29%,27%,26%,27%,28%,29%,33%
Other Income+,13,41,47,59,87,54,86,"1,574",6,6,9,26,18
Depreciation,427,132,137,147,153,153,159,162,171,173,174,177,175
Profit before tax,"1,851","2,283","2,391","2,494","2,717","2,715","2,830","4,326","2,772","2,906","3,113","3,363","3,917"
Tax %,31%,25%,25%,25%,26%,25%,24%,25%,23%,26%,26%,25%,23%
Net Profit+,"1,288","1,712","1,792","1,874","2,021","2,031","2,153","3,249","2,144","2,159","2,314","2,530","3,021"
EPS in Rs,6.86,9.10,9.52,9.94,10.69,10.76,11.39,17.27,11.40,11.48,12.30,13.45,16.06
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
