Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,504,675,878,543,483,870,"1,026",671,504,917,"1,032","1,082","1,496"
Expenses+,326,192,172,175,256,224,198,207,264,211,172,309,587
Operating Profit,178,483,706,368,227,646,828,464,241,707,860,773,910
OPM %,35%,72%,80%,68%,47%,74%,81%,69%,48%,77%,83%,71%,61%
Other Income+,68,71,89,49,195,89,92,91,52,54,79,44,60
Interest,49,90,124,122,121,143,198,229,159,216,315,245,522
Depreciation,86,101,102,112,242,131,133,137,275,160,171,216,494
Profit before tax,112,363,569,183,58,462,590,189,-142,385,453,357,-47
Tax %,85%,25%,23%,24%,-5%,23%,25%,21%,-10%,41%,32%,37%,153%
Net Profit+,17,272,440,139,61,357,440,149,-128,228,308,224,-118
EPS in Rs,0.04,0.69,1.12,0.35,0.16,0.91,1.12,0.38,-0.32,0.58,0.78,0.57,-0.30
Raw PDF,,,,,,,,,,,,,
