Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,412,410,352,322,357,400,415,371,386,406,389,354,387
Expenses+,335,336,304,262,288,321,341,301,318,329,319,287,316
Operating Profit,78,74,48,60,69,79,74,71,68,77,70,67,71
OPM %,19%,18%,14%,19%,19%,20%,18%,19%,18%,19%,18%,19%,18%
Other Income+,2,5,2,5,3,5,9,7,9,8,7,8,8
Interest,1,1,2,1,1,0,0,0,0,0,0,0,0
Depreciation,12,12,13,17,17,18,18,18,18,18,18,18,18
Profit before tax,67,66,36,46,53,66,64,59,59,66,59,57,61
Tax %,28%,25%,25%,28%,28%,26%,26%,26%,22%,25%,27%,26%,25%
Net Profit+,49,50,27,33,38,49,47,44,46,49,43,42,45
EPS in Rs,9.52,9.74,5.33,6.54,7.52,9.56,9.28,8.56,9.00,9.67,8.40,8.26,8.87
Raw PDF,,,,,,,,,,,,,
