Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"10,360","11,897","12,529","14,164","12,494","13,266","14,534","17,740","14,916","16,523","18,725","25,416","26,920"
Expenses+,"9,271","10,772","11,118","12,599","11,303","12,019","13,298","16,066","13,379","14,693","16,850","22,703","24,982"
Operating Profit,"1,089","1,125","1,411","1,565","1,191","1,247","1,236","1,674","1,537","1,830","1,875","2,713","1,938"
OPM %,11%,9%,11%,11%,10%,9%,8%,9%,10%,11%,10%,11%,7%
Other Income+,114,114,125,136,159,120,123,128,116,105,113,-1,235
Interest,96,109,140,169,201,230,240,231,252,271,277,282,350
Depreciation,119,128,144,154,158,164,171,175,183,184,189,207,246
Profit before tax,988,"1,002","1,252","1,378",991,973,948,"1,396","1,218","1,480","1,522","2,223","1,577"
Tax %,26%,25%,27%,24%,22%,27%,26%,25%,28%,26%,26%,24%,25%
Net Profit+,736,756,916,"1,053",771,715,704,"1,047",871,"1,091","1,120","1,684","1,179"
EPS in Rs,8.22,8.48,10.31,11.86,8.68,8.05,7.93,11.79,9.81,12.29,12.62,18.97,13.28
Raw PDF,,,,,,,,,,,,,
