Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,226","1,263","1,310","1,343","1,363","1,327","1,368","1,363","1,317","1,285","1,329","1,348","1,349"
Expenses+,"1,059","1,070","1,103","1,129","1,141","1,132","1,203","1,199","1,143","1,126","1,116","1,103","1,099"
Operating Profit,167,193,207,214,222,195,165,163,174,159,213,245,249
OPM %,14%,15%,16%,16%,16%,15%,12%,12%,13%,12%,16%,18%,18%
Other Income+,-2,14,16,28,46,35,33,21,20,33,22,-27,-4
Interest,4,4,6,6,4,4,7,7,6,5,5,6,4
Depreciation,21,21,22,21,21,21,22,21,22,21,20,20,19
Profit before tax,140,182,196,215,242,205,170,156,166,166,210,192,222
Tax %,20%,24%,26%,25%,26%,27%,25%,25%,27%,36%,45%,37%,21%
Net Profit+,112,138,145,161,180,150,128,117,122,106,116,120,176
EPS in Rs,4.08,5.00,5.27,5.84,6.53,5.44,4.61,4.23,4.39,3.83,4.17,4.30,6.29
Raw PDF,,,,,,,,,,,,,
