Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,697,491,472,500,602,524,519,606,701,725,758,892,938
Expenses+,495,377,373,424,492,423,411,459,522,519,512,585,617
Operating Profit,202,114,98,76,110,100,107,147,179,207,246,308,321
OPM %,29%,23%,21%,15%,18%,19%,21%,24%,26%,29%,32%,34%,34%
Other Income+,4,8,23,64,13,10,11,10,12,14,18,-5,31
Interest,14,19,20,18,17,16,14,20,28,30,30,28,29
Depreciation,8,21,24,25,26,27,28,30,35,35,37,36,41
Profit before tax,184,82,77,97,79,68,77,108,127,155,198,238,282
Tax %,26%,25%,22%,20%,11%,25%,23%,23%,25%,24%,25%,22%,25%
Net Profit+,136,62,61,78,70,51,59,84,95,117,148,185,213
EPS in Rs,27.50,12.41,12.22,15.74,14.19,10.32,11.86,16.86,19.15,23.62,28.96,36.18,41.48
Raw PDF,,,,,,,,,,,,,
