Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,214","2,355","2,478","2,728","2,301","2,574","2,277","2,948","2,445","2,500","2,792","3,280","2,968"
Expenses+,"1,981","2,024","2,214","2,402","2,015","2,259","2,047","2,616","2,158","2,179","2,432","2,846","2,588"
Operating Profit,233,331,264,325,285,315,230,332,287,321,360,435,381
OPM %,11%,14%,11%,12%,12%,12%,10%,11%,12%,13%,13%,13%,13%
Other Income+,86,99,94,129,133,140,140,143,178,"1,260",134,102,122
Interest,4,3,9,11,12,11,10,4,5,4,5,6,6
Depreciation,38,40,58,57,59,59,61,62,62,60,62,64,69
Profit before tax,278,386,290,386,347,385,299,410,398,"1,518",427,466,428
Tax %,22%,25%,27%,23%,22%,22%,-8%,22%,20%,8%,26%,23%,25%
Net Profit+,216,290,211,299,270,302,324,321,318,"1,397",318,358,321
EPS in Rs,16.41,26.24,19.05,27.01,24.43,27.30,28.98,28.66,28.46,124.88,28.44,32.03,28.65
Raw PDF,,,,,,,,,,,,,
