Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"263,159","273,046","269,693","291,550","301,938","261,068","249,795","278,454","345,967","434,016","439,695","335,582"
Expenses+,"223,920","234,650","240,104","260,093","277,274","243,081","217,507","253,734","314,151","376,207","383,557","316,685"
Operating Profit,"39,239","38,395","29,589","31,458","24,664","17,987","32,287","24,720","31,816","57,809","56,138","18,897"
OPM %,15%,14%,11%,11%,8%,7%,13%,9%,9%,13%,13%,6%
Other Income+,714,"-2,670","1,869","5,933","-26,686",102,"-11,118","2,424","6,664","4,807","10,852","86,113"
Interest,"4,861","4,889","4,238","4,682","5,759","7,243","8,097","9,312","10,225","7,594","5,083","2,827"
Depreciation,"13,389","16,711","17,905","21,554","23,591","21,425","23,547","24,836","24,860","27,239","23,256","19,784"
Profit before tax,"21,703","14,126","9,315","11,155","-31,371","-10,580","-10,474","-7,003","3,394","27,783","38,651","82,399"
Tax %,35%,21%,35%,39%,-8%,4%,24%,60%,21%,-14%,27%,-0%
Net Profit+,"14,073","11,678","7,557","9,091","-28,724","-11,975","-13,395","-11,309","2,690","31,807","28,149","82,645"
EPS in Rs,48.44,40.11,25.82,31.13,-99.84,-39.08,-40.51,-34.45,7.27,94.47,75.60,223.74
Dividend Payout %,0%,1%,0%,0%,0%,0%,0%,0%,32%,7%,8%,1%
