Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"10,945","11,312","12,403","14,173","16,300","18,431"
Interest,"3,883","3,326","3,512","4,907","6,433","6,856"
Expenses+,"6,451","6,540","6,153","5,817","6,745","7,980"
Financing Profit,610,"1,446","2,738","3,449","3,122","3,595"
Financing Margin %,6%,13%,22%,24%,19%,20%
Other Income+,-2,0,1,1,0,1
Depreciation,108,99,112,145,194,209
Profit before tax,501,"1,348","2,627","3,305","2,928","3,386"
Tax %,22%,25%,25%,26%,26%,25%
Net Profit+,391,"1,011","1,959","2,461","2,176","2,544"
EPS in Rs,4.96,12.80,24.76,31.03,27.34,30.64
Dividend Payout %,0%,8%,8%,10%,11%,13%
