Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"37,930","33,733","38,945","35,541","35,509","35,764","37,634","17,063","16,686","37,824","18,747","21,337","24,609"
Expenses+,"28,471","27,313","27,466","27,010","26,741","25,819","27,806","12,050","11,440","27,906","13,832","14,816","17,050"
Operating Profit,"9,459","6,420","11,479","8,531","8,768","9,945","9,828","5,013","5,246","9,918","4,915","6,521","7,559"
OPM %,25%,19%,29%,24%,25%,28%,26%,29%,31%,26%,26%,31%,31%
Other Income+,-631,"2,326","1,863",779,385,934,"3,168","3,202","2,771",985,"1,248","4,426","5,520"
Interest,"1,805","2,110","2,523","2,417","2,415","2,222","2,667","1,073","1,071","2,026","1,033",547,737
Depreciation,"2,765","2,550","2,642","2,788","2,743","2,731","2,696","1,238","1,191","2,824","1,303","1,239","1,332"
Profit before tax,"4,258","4,086","8,177","4,105","3,995","5,926","7,633","5,904","5,755","6,053","3,827","9,161","11,010"
Tax %,26%,19%,111%,30%,43%,14%,27%,17%,14%,26%,9%,15%,15%
Net Profit+,"3,132","3,308",-915,"2,868","2,275","5,095","5,603","4,876","4,961","4,457","3,479","7,807","9,352"
EPS in Rs,5.06,7.10,-4.80,5.42,3.68,9.70,11.13,9.07,8.91,8.14,4.60,14.60,17.13
Raw PDF,,,,,,,,,,,,,
