Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,075","1,075","1,196","1,166","1,215","1,192","1,290","1,253","1,321","1,386","1,535","1,560","1,704"
Expenses+,958,960,"1,065","1,036","1,076","1,061","1,143","1,109","1,168","1,230","1,357","1,377","1,500"
Operating Profit,117,115,131,130,139,132,147,144,153,156,178,184,203
OPM %,11%,11%,11%,11%,11%,11%,11%,11%,12%,11%,12%,12%,12%
Other Income+,2,2,2,2,10,8,12,9,3,3,3,-1,8
Interest,12,14,15,14,12,10,11,12,34,33,31,29,30
Depreciation,39,39,41,42,44,46,51,50,57,56,57,58,59
Profit before tax,69,63,77,76,92,84,96,90,65,71,93,97,123
Tax %,-80%,27%,24%,33%,25%,26%,26%,29%,36%,26%,27%,33%,25%
Net Profit+,122,45,59,52,71,64,74,65,52,65,85,84,124
EPS in Rs,5.10,1.89,2.46,2.20,2.96,2.69,3.11,2.71,2.18,2.73,3.54,3.58,5.21
Raw PDF,,,,,,,,,,,,,
