Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,384","1,543","1,305","1,391","1,660","1,632","1,505","1,454","1,749","1,764","1,948","1,873","2,116"
Expenses+,"1,196","1,277","1,103","1,133","1,357","1,307","1,207","1,199","1,437","1,437","1,567","1,541","1,741"
Operating Profit,188,266,201,258,303,325,298,255,312,327,382,331,376
OPM %,14%,17%,15%,19%,18%,20%,20%,18%,18%,19%,20%,18%,18%
Other Income+,11,7,8,-24,23,18,19,11,36,39,13,-13,4
Interest,64,76,74,82,97,101,118,133,131,139,136,128,120
Depreciation,26,27,30,31,31,30,33,37,39,40,42,43,49
Profit before tax,109,170,105,122,198,211,166,95,179,187,216,148,210
Tax %,27%,26%,26%,26%,26%,26%,25%,28%,29%,26%,26%,26%,26%
Net Profit+,79,126,78,89,147,156,125,68,127,139,159,109,155
EPS in Rs,5.45,8.67,5.38,6.20,10.25,10.98,8.79,4.91,9.03,9.77,11.18,7.66,10.91
Raw PDF,,,,,,,,,,,,,
