Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,574,"1,111","1,768","2,441","3,774","5,144","6,386","7,950","10,022"
Expenses+,601,"1,091","1,685","2,283","3,610","4,887","6,039","7,475","9,270"
Operating Profit,-27,21,83,158,164,257,347,475,752
OPM %,-5%,2%,5%,6%,4%,5%,5%,6%,8%
Other Income+,4,5,10,12,27,30,30,27,15
Interest,7,27,46,32,47,76,84,108,117
Depreciation,7,31,60,72,96,173,224,266,320
Profit before tax,-37,-32,-12,66,47,38,69,127,330
Tax %,-25%,-23%,31%,7%,13%,35%,37%,42%,38%
Net Profit+,-28,-25,-16,62,41,21,40,72,204
EPS in Rs,-3.47,-2.87,-1.90,6.82,0.14,0.07,0.11,0.23,0.70
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%
