Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,406","1,486","1,595","1,631","1,517","1,562","1,648","1,693","1,770","1,711","1,910","1,876","1,848"
Expenses+,"1,203","1,287","1,387","1,364","1,257","1,325","1,409","1,433","1,498","1,430","1,594","1,585","1,620"
Operating Profit,204,199,208,266,260,237,239,260,271,281,316,292,228
OPM %,14%,13%,13%,16%,17%,15%,15%,15%,15%,16%,17%,16%,12%
Other Income+,1,12,10,3,4,2,30,10,14,6,8,-27,2
Interest,14,14,16,15,11,13,19,22,25,24,24,23,23
Depreciation,74,66,68,69,69,69,71,70,69,74,76,80,89
Profit before tax,116,130,135,185,183,157,180,178,192,190,224,162,119
Tax %,-31%,7%,-1%,2%,3%,14%,15%,23%,18%,19%,18%,18%,-70%
Net Profit+,153,121,137,180,178,135,153,138,157,154,184,132,202
EPS in Rs,7.76,6.14,6.95,9.18,9.07,6.85,7.80,7.04,7.98,7.85,9.40,6.76,10.31
Raw PDF,,,,,,,,,,,,,
