Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,176,170,199,230,254,257,317,426,401,449,535,608
Expenses+,41,45,55,46,51,53,58,60,64,71,80,95
Operating Profit,136,125,143,185,203,204,259,366,337,379,455,514
OPM %,77%,74%,72%,80%,80%,80%,82%,86%,84%,84%,85%,84%
Other Income+,0,25,34,26,40,40,40,52,73,102,119,137
Interest,0,0,0,0,1,2,2,2,2,3,3,2
Depreciation,3,3,3,10,10,15,16,16,19,20,21,23
Profit before tax,132,147,174,200,232,228,282,400,389,457,550,625
Tax %,32%,32%,35%,34%,29%,22%,24%,24%,25%,25%,25%,24%
Net Profit+,90,100,114,132,165,178,213,303,293,341,415,474
EPS in Rs,1.10,1.16,1.31,1.45,1.81,1.98,2.38,3.37,3.28,3.83,4.65,5.31
Dividend Payout %,88%,72%,113%,50%,0%,42%,56%,74%,30%,65%,64%,66%
