Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"4,978","5,846","6,501","7,306","9,446","10,879","12,370","26,109","33,183","35,517","38,008","42,308"
Expenses+,"3,973","4,819","5,271","6,119","7,562","8,849","9,645","20,860","27,075","29,130","31,513","34,752"
Operating Profit,"1,005","1,028","1,230","1,187","1,883","2,029","2,725","5,249","6,108","6,387","6,495","7,555"
OPM %,20%,18%,19%,16%,20%,19%,22%,20%,18%,18%,17%,18%
Other Income+,99,187,187,426,302,329,274,766,557,702,990,566
Interest,10,6,3,16,11,83,79,123,150,222,279,276
Depreciation,158,174,178,156,147,273,332,597,723,819,992,"1,054"
Profit before tax,936,"1,035","1,236","1,442","2,028","2,003","2,588","5,294","5,792","6,049","6,214","6,791"
Tax %,18%,19%,21%,23%,25%,24%,25%,25%,24%,24%,26%,27%
Net Profit+,769,836,971,"1,112","1,516","1,520","1,938","3,950","4,410","4,585","4,602","4,983"
EPS in Rs,238.30,49.25,56.91,64.65,87.37,87.30,110.79,225.27,149.02,154.72,155.21,169.25
Dividend Payout %,63%,72%,29%,33%,32%,32%,36%,41%,40%,42%,42%,44%
